date,open,high,low,close,volume,next_day_close
07-10-2015,108.839996,109.779999,106.75,108.099998,12329500,114.93
08-10-2015,107.940002,115.050003,102.599998,114.93,42831900,113.330002
09-10-2015,114.110001,115.830002,112.440002,113.330002,22455200,113.449997
12-10-2015,114.449997,115.419998,112.360001,113.449997,12624500,109.730003
13-10-2015,112.849998,113.720001,108.779999,109.730003,17512100,110.230003
14-10-2015,111.5,111.629997,108.050003,110.230003,33231500,101.089996
15-10-2015,103.769997,104.879997,99.099998,101.089996,48484300,98.989998
16-10-2015,100.209999,101.650002,98.410004,98.989998,21340500,101.690002
19-10-2015,98.07,103.620003,96.260002,101.690002,29964700,98.989998
20-10-2015,101.059998,102.110001,97.580002,98.989998,17345600,97.959999
21-10-2015,99.669998,100.339996,97.010002,97.959999,13728500,97.32
22-10-2015,98.07,99.93,96.860001,97.32,12786800,100.040001
23-10-2015,97.610001,101.559998,97.269997,100.040001,18019900,103.040001
26-10-2015,100.050003,103.309998,99.379997,103.040001,12234800,103.07
27-10-2015,102.580002,104.720001,101.230003,103.07,12066400,105.800003
28-10-2015,102.900002,106.209999,102.059998,105.800003,13094000,105.120003
29-10-2015,105,106.910004,104.75,105.120003,9841400,108.379997
30-10-2015,105.120003,110.099998,104.900002,108.379997,15571500,107.639999
02-11-2015,109.199997,109.370003,106.300003,107.639999,11784600,109.739998
03-11-2015,107.360001,111.050003,107.239998,109.739998,12484100,114.050003
04-11-2015,110.360001,114.279999,109.389999,114.050003,17505000,113.5
05-11-2015,113.75,115.68,111.720001,113.5,13814900,114.059998
06-11-2015,113.389999,114.800003,112.050003,114.059998,10936600,109.860001
09-11-2015,113.360001,114,108.639999,109.860001,16154600,112.699997
10-11-2015,108.860001,112.839996,108.010002,112.699997,11166400,112.860001
11-11-2015,113.080002,114.610001,111.410004,112.860001,11039200,108.919998
12-11-2015,112.519997,115.25,108.199997,108.919998,17568200,103.650002
13-11-2015,108.339996,109.07,103.269997,103.650002,18819400,111.349998
16-11-2015,102.970001,111.650002,101.860001,111.349998,19866200,117.099998
17-11-2015,112.110001,118.790001,111.699997,117.099998,33016300,120.629997
18-11-2015,117.940002,121,116.099998,120.629997,23353600,120.220001
19-11-2015,120.25,123.129997,119.610001,120.220001,19253200,123.839996
20-11-2015,120.849998,124.07,119.209999,123.839996,17977000,125.029999
23-11-2015,124.300003,126.199997,121.660004,125.029999,15727000,123.309998
24-11-2015,123.669998,124.660004,120.029999,123.309998,18335300,124.160004
25-11-2015,124.230003,125.199997,122.360001,124.160004,10980700,125.440002
27-11-2015,123.849998,126.389999,123.589996,125.440002,6645500,123.330002
30-11-2015,126.029999,126.599998,122.889999,123.330002,13894000,125.370003
01-12-2015,124.470001,125.57,122.419998,125.370003,12550800,128.929993
02-12-2015,125.529999,131.350006,124.93,128.929993,24105700,126.809998
03-12-2015,129.619995,132.199997,126.389999,126.809998,26647300,130.929993
04-12-2015,127,130.990005,125.75,130.929993,20250400,125.360001
07-12-2015,131.190002,133.270004,122.75,125.360001,23351600,126.980003
08-12-2015,121.510002,128.240005,121.099998,126.980003,18591100,124.199997
09-12-2015,127.699997,128.779999,122.330002,124.199997,17788800,122.910004
10-12-2015,124.5,125.209999,121.620003,122.910004,13474100,118.910004
11-12-2015,121.449997,123,118.599998,118.910004,16105300,120.669998
14-12-2015,119.769997,120.900002,114.660004,120.669998,18679300,118.599998
15-12-2015,121.93,123.300003,118.540001,118.599998,11760000,122.639999
16-12-2015,119.800003,123,118.089996,122.639999,13181000,122.510002
17-12-2015,123.970001,126.349998,122.419998,122.510002,17284900,118.019997
18-12-2015,120.849998,122.190002,117.919998,118.019997,17948100,116.629997
21-12-2015,119.510002,119.589996,115.660004,116.629997,11670000,116.239998
22-12-2015,117.300003,117.43,114.860001,116.239998,9689000,118.160004
23-12-2015,116.910004,118.559998,115.779999,118.160004,9324300,117.330002
24-12-2015,118.220001,118.800003,117.300003,117.330002,3531300,117.110001
28-12-2015,117.260002,117.349998,113.849998,117.110001,8424300,119.120003
29-12-2015,118.190002,119.599998,116.919998,119.120003,8159200,116.709999
30-12-2015,118.949997,119.019997,116.43,116.709999,8149700,114.379997
31-12-2015,116.209999,117.459999,114.279999,114.379997,9273000,109.959999
04-01-2016,109,110,105.209999,109.959999,20794800,107.660004
05-01-2016,110.449997,110.580002,105.849998,107.660004,17664600,117.68
06-01-2016,105.290001,117.910004,104.959999,117.68,33045700,114.559998
07-01-2016,116.360001,122.18,112.290001,114.559998,33636700,111.389999
08-01-2016,116.330002,117.720001,111.099998,111.389999,18067100,114.970001
11-01-2016,112.129997,116.790001,111.199997,114.970001,21920400,116.580002
12-01-2016,116.110001,117.779999,115.080002,116.580002,15133500,106.559998
13-01-2016,114.43,114.480003,104.529999,106.559998,24921600,107.059998
14-01-2016,105.650002,109.25,101.209999,107.059998,23664800,104.040001
15-01-2016,102.43,105.5,101.720001,104.040001,19775100,107.889999
19-01-2016,106.57,110.139999,105.550003,107.889999,35722800,107.739998
20-01-2016,108.910004,109.989998,97.050003,107.739998,53009400,102.349998
21-01-2016,108.32,108.510002,102.099998,102.349998,31027500,100.720001
22-01-2016,104.720001,104.989998,99.220001,100.720001,26821800,99.120003
25-01-2016,99.779999,102.68,99,99.120003,20321100,97.830002
26-01-2016,99.739998,100.550003,94.849998,97.830002,22083900,91.150002
27-01-2016,96.610001,97.849998,90.589996,91.150002,25556200,94.410004
28-01-2016,93.839996,95.25,90.110001,94.410004,24562300,91.839996
29-01-2016,92,94.389999,90.629997,91.839996,20463900,94.089996
01-02-2016,91.790001,97.18,91.300003,94.089996,19684500,91.489998
02-02-2016,95.540001,96.650002,90.730003,91.489998,21906500,90.739998
03-02-2016,92.410004,92.690002,86.139999,90.739998,27466000,89.709999
04-02-2016,89.5,91.25,86.540001,89.709999,19108600,82.790001
05-02-2016,88.230003,88.949997,81.860001,82.790001,25929300,83.32
08-02-2016,80.57,84.699997,79.949997,83.32,25035600,86.129997
09-02-2016,81.75,88.400002,81.550003,86.129997,25892900,88.449997
10-02-2016,89,92.209999,87.419998,88.449997,23146500,86.349998
11-02-2016,87.419998,88.389999,82.910004,86.349998,21820300,87.400002
12-02-2016,86.639999,89.720001,85.260002,87.400002,19067700,89.050003
16-02-2016,89,90.139999,87.540001,89.050003,16356600,94.760002
17-02-2016,90.129997,94.769997,89.639999,94.760002,18323800,90.489998
18-02-2016,94.800003,94.900002,90.309998,90.489998,17695300,89.230003
19-02-2016,89.980003,91.400002,88.029999,89.230003,14259200,91.93
22-02-2016,90.75,93.110001,88.300003,91.93,16321800,89.120003
23-02-2016,91.400002,92.489998,89.050003,89.120003,12744400,91.610001
24-02-2016,88.5,91.760002,86.699997,91.610001,15972800,94.529999
25-02-2016,91.080002,94.809998,90.209999,94.529999,17898800,94.790001
26-02-2016,95.300003,97.480003,94.25,94.790001,16975200,93.410004
29-02-2016,94.809998,97.199997,93.339996,93.410004,13663100,98.300003
01-03-2016,94.580002,99.160004,93.610001,98.300003,17048800,97.610001
02-03-2016,98.010002,99.480003,95.900002,97.610001,19102800,97.93
03-03-2016,97.830002,98.349998,95.389999,97.93,15320900,101.580002
04-03-2016,98.760002,102.220001,98.32,101.580002,23414600,95.489998
07-03-2016,101,101.790001,95.25,95.489998,23855200,96.230003
08-03-2016,95,98.279999,94.5,96.230003,14797000,98
09-03-2016,96.82,98.370003,95,98,12298700,97.360001
10-03-2016,98.18,99.739998,95.449997,97.360001,17002100,97.660004
11-03-2016,99.510002,99.599998,96.050003,97.660004,15114300,98.129997
14-03-2016,97.199997,99.419998,97.169998,98.129997,11251900,97.860001
15-03-2016,97.870003,98.510002,96.43,97.860001,9691800,99.349998
16-03-2016,97.529999,99.730003,97.5,99.349998,12630500,99.720001
17-03-2016,99.050003,101.389999,99,99.720001,13825000,101.120003
18-03-2016,100.5,102.410004,100.010002,101.120003,15453500,101.059998
21-03-2016,101.150002,102.099998,99.5,101.059998,9578500,99.839996
22-03-2016,100.480003,101.519997,99.199997,99.839996,9069900,99.589996
23-03-2016,99.75,100.389999,98.809998,99.589996,8313500,98.360001
24-03-2016,98.639999,98.849998,97.07,98.360001,10671100,101.209999
28-03-2016,98.339996,101.440002,97.82,101.209999,12432200,104.129997
29-03-2016,101.080002,104.330002,101,104.129997,16008900,102.190002
30-03-2016,104.650002,104.910004,101.480003,102.190002,14705000,102.230003
31-03-2016,102.43,103.529999,101.050003,102.230003,9747500,105.699997
01-04-2016,102.93,105.790001,102.470001,105.699997,14182400,104.349998
04-04-2016,105.900002,105.919998,103.199997,104.349998,10940400,104.940002
05-04-2016,103.470001,105.75,103.25,104.940002,10060900,104.830002
06-04-2016,105.300003,106.440002,104.25,104.830002,9605800,104.449997
07-04-2016,104.309998,106.440002,103.599998,104.449997,10774900,103.809998
08-04-2016,105.120003,105.330002,102.82,103.809998,7857600,102.68
11-04-2016,104.040001,104.980003,102.620003,102.68,7451300,106.980003
12-04-2016,103.150002,107.220001,102.209999,106.980003,12437000,109.650002
13-04-2016,108,111.279999,107.879997,109.650002,16701700,110.419998
14-04-2016,110.010002,111.639999,109.150002,110.419998,9553700,111.510002
15-04-2016,110.639999,111.849998,109.779999,111.510002,11746100,108.400002
18-04-2016,109.900002,110.699997,106.019997,108.400002,32816400,94.339996
19-04-2016,99.489998,101.370003,94.199997,94.339996,55728800,96.769997
20-04-2016,94.339996,96.980003,93.139999,96.769997,26613500,94.980003
21-04-2016,97.309998,97.379997,94.779999,94.980003,19919400,95.900002
22-04-2016,94.849998,96.690002,94.209999,95.900002,15806300,93.559998
25-04-2016,95.699997,95.75,92.800003,93.559998,14985400,92.43
26-04-2016,93.5,93.550003,91.25,92.43,15330900,91.040001
27-04-2016,92.18,92.5,90.209999,91.040001,12218900,90.279999
28-04-2016,91.5,92.669998,90.089996,90.279999,11474900,90.029999
29-04-2016,90.5,90.559998,88.209999,90.029999,13968000,93.110001
02-05-2016,90.410004,93.220001,89.889999,93.110001,12547000,91.540001
03-05-2016,92.080002,93.25,91.300003,91.540001,10593900,90.790001
04-05-2016,91,92.160004,90.349998,90.790001,7394700,89.370003
05-05-2016,90.910004,92.080002,89.25,89.370003,10368500,90.839996
06-05-2016,88.830002,90.879997,88.110001,90.839996,10433900,90.540001
09-05-2016,90.730003,91.830002,89.900002,90.540001,9543700,92.889999
10-05-2016,91.139999,93.25,91.089996,92.889999,11175900,90.019997
11-05-2016,92.400002,92.589996,89.900002,90.019997,11692900,87.739998
12-05-2016,90.32,90.410004,85.739998,87.739998,20408100,87.879997
13-05-2016,87.389999,88.589996,86.260002,87.879997,11571400,89.120003
16-05-2016,87.559998,90,86.150002,89.120003,11247800,88.629997
17-05-2016,89,90.870003,88.169998,88.629997,11571300,90.5
18-05-2016,88.25,91.720001,88.25,90.5,13911800,89.550003
19-05-2016,90.160004,91.269997,88.300003,89.550003,11450300,92.489998
20-05-2016,90.080002,93.279999,89.980003,92.489998,15063000,94.889999
23-05-2016,92.980003,95.290001,92.849998,94.889999,13992300,97.889999
24-05-2016,95.980003,99.139999,95.75,97.889999,21246000,100.199997
25-05-2016,99,100.309998,98.300003,100.199997,15142900,102.809998
26-05-2016,103.209999,104,101.379997,102.809998,17824700,103.300003
27-05-2016,102.440002,103.5,101.440002,103.300003,9092100,102.57
31-05-2016,102.949997,103.449997,102.129997,102.57,8725700,101.510002
01-06-2016,101.5,101.919998,100.160004,101.510002,8393400,101.25
02-06-2016,101.389999,102.150002,100.769997,101.25,7992400,99.589996
03-06-2016,100.989998,101,98.529999,99.589996,9224000,100.739998
06-06-2016,100.290001,101.07,99.720001,100.739998,6828100,99.889999
07-06-2016,101.199997,101.629997,99.769997,99.889999,6474700,97.860001
08-06-2016,100.019997,100.279999,97.599998,97.860001,9423900,97.089996
09-06-2016,97.220001,98.43,96.660004,97.089996,8923800,93.75
10-06-2016,94.879997,95.349998,93.279999,93.75,12907900,93.849998
13-06-2016,95.019997,97.199997,93.620003,93.849998,13484300,94.120003
